price,make_model,body_type,vat,km,type,fuel,gears,extras,age,previous_owners,hp_kw,inspection_new,paint_type,upholstery_type,gearing_type,displacement_cc,weight_kg,drive_chain,cons_comb,comfort_package,entertainment_media_package,safety_security_package
35900,Opel Insignia,Sedans,VAT deductible,5000.0,Used,Benzine,6.0,Alloy wheels,0.0,1.0,147.0,0,Uni/basic,Cloth,Automatic,1598.0,1341.0,front,5.4,Standard,Standard Media,Safety Standard Package
35980,Opel Insignia,Station wagon,VAT deductible,1647.3626086956522,New,Benzine,6.0,"Alloy wheels,Roof rack,Touch screen",0.0,1.0,121.0,0,Metallic,Cloth,Automatic,1490.0,1487.0,front,6.3,Standard,Premium Media,Safety Premium Package
35979,Opel Insignia,Station wagon,VAT deductible,3900.0,Demonstration,Diesel,8.0,"Alloy wheels,Roof rack",0.0,1.0,125.0,1,Metallic,Part/Full Leather,Automatic,1956.0,1487.0,front,5.6,Premium,Premium Media,Safety Premium Package
35970,Opel Insignia,Sedans,VAT deductible,356.0,Pre-registered,Diesel,6.0,"Alloy wheels,Catalytic Converter,Roof rack,Sport seats,Voice Control",0.0,1.0,125.0,0,Metallic,Part/Full Leather,Automatic,1956.0,1633.0,front,5.5,Standard,Premium Media,Safety Standard Package
35790,Opel Insignia,Station wagon,VAT deductible,1000.0,Demonstration,Diesel,8.0,Alloy wheels,0.0,1.0,125.0,1,Metallic,Cloth,Automatic,1998.0,1487.0,front,5.6,Premium,Premium Media,Safety Standard Package
35590,Opel Insignia,Station wagon,VAT deductible,7500.0,Used,Benzine,6.0,"Alloy wheels,Cab or rented Car,Roof rack,Touch screen,Voice Control",0.0,1.0,147.0,0,Metallic,Part/Full Leather,Automatic,1598.0,1552.0,front,6.7,Premium,Premium Media,Safety Premium Package
35590,Opel Insignia,Sedans,VAT deductible,2000.0,Used,Diesel,6.0,"Alloy wheels,Sport seats",0.0,1.0,127.0,0,Metallic,Part/Full Leather,Automatic,1956.0,1503.0,front,5.4,Standard,Standard Media,Safety Standard Package
35585,Opel Insignia,Station wagon,VAT deductible,1647.3626086956522,New,Diesel,8.0,"Alloy wheels,Catalytic Converter,Roof rack,Touch screen",0.0,1.0,154.0,1,Metallic,Part/Full Leather,Automatic,1956.0,1807.0,4WD,7.1,Standard,Premium Media,Safety Standard Package
35555,Opel Insignia,Station wagon,VAT deductible,10.0,New,Benzine,6.0,"Alloy wheels,Roof rack,Touch screen,Voice Control",0.0,1.0,121.0,0,Metallic,Cloth,Automatic,1490.0,1522.0,front,6.4,Premium,Premium Media,Safety Premium Plus Package
35515,Opel Insignia,Sedans,VAT deductible,1647.3626086956522,New,Diesel,8.0,"Alloy wheels,Catalytic Converter,Touch screen",0.0,1.0,154.0,1,Metallic,Part/Full Leather,Automatic,1956.0,1733.0,4WD,7.1,Premium Plus,Premium Media,Safety Premium Package
33235,Opel Insignia,Sedans,VAT deductible,1647.3626086956522,New,Benzine,6.0,"Alloy wheels,Catalytic Converter,Touch screen",0.0,1.0,121.0,1,Metallic,Part/Full Leather,Automatic,1490.0,1472.0,front,5.9,Standard,Premium Media,Safety Premium Package
